Station,To,Fare (PHP)
R.Papa,Abad Santos,10
R.Papa,Blumentritt,10
R.Papa,Tayuman,10
R.Papa,Bambang,10
R.Papa,Doroteo Jose,13
R.Papa,Carriedo,13
R.Papa,Central,13
R.Papa,UN Avenue,13
R.Papa,Pedro Gil,13
R.Papa,Quirino,15
Abad Santos,R.Papa,10
Abad Santos,Blumentritt,10
Abad Santos,Tayuman,10
Abad Santos,Bambang,10
Abad Santos,Doroteo Jose,10
Abad Santos,Carriedo,13
Abad Santos,Central,13
Abad Santos,UN Avenue,13
Abad Santos,Pedro Gil,13
Abad Santos,Quirino,15
Blumentritt,R.Papa,10
Blumentritt,Abad Santos,10
Blumentritt,Tayuman,10
Blumentritt,Bambang,10
Blumentritt,Doroteo Jose,10
Blumentritt,Carriedo,10
Blumentritt,Central,13
Blumentritt,UN Avenue,13
Blumentritt,Pedro Gil,13
Blumentritt,Quirino,15
Tayuman,R.Papa,10
Tayuman,Abad Santos,10
Tayuman,Blumentritt,10
Tayuman,Bambang,10
Tayuman,Doroteo Jose,10
Tayuman,Carriedo,10
Tayuman,Central,10
Tayuman,UN Avenue,13
Tayuman,Pedro Gil,13
Tayuman,Quirino,15
Bambang,R.Papa,10
Bambang,Abad Santos,10
Bambang,Blumentritt,10
Bambang,Tayuman,10
Bambang,Doroteo Jose,10
Bambang,Carriedo,10
Bambang,Central,10
Bambang,UN Avenue,10
Bambang,Pedro Gil,13
Bambang,Quirino,15
Doroteo Jose,R.Papa,13
Doroteo Jose,Abad Santos,10
Doroteo Jose,Blumentritt,10
Doroteo Jose,Tayuman,10
Doroteo Jose,Bambang,10
Doroteo Jose,Carriedo,10
Doroteo Jose,Central,10
Doroteo Jose,UN Avenue,10
Doroteo Jose,Pedro Gil,10
Doroteo Jose,Quirino,13
Carriedo,R.Papa,13
Carriedo,Abad Santos,13
Carriedo,Blumentritt,10
Carriedo,Tayuman,10
Carriedo,Bambang,10
Carriedo,Doroteo Jose,10
Carriedo,Central,10
Carriedo,UN Avenue,10
Carriedo,Pedro Gil,10
Carriedo,Quirino,13
Central,R.Papa,13
Central,Abad Santos,13
Central,Blumentritt,13
Central,Tayuman,10
Central,Bambang,10
Central,Doroteo Jose,10
Central,Carriedo,10
Central,UN Avenue,10
Central,Pedro Gil,10
Central,Quirino,13
UN Avenue,R.Papa,13
UN Avenue,Abad Santos,13
UN Avenue,Blumentritt,13
UN Avenue,Tayuman,13
UN Avenue,Bambang,10
UN Avenue,Doroteo Jose,10
UN Avenue,Carriedo,10
UN Avenue,Central,10
UN Avenue,Pedro Gil,10
UN Avenue,Quirino,13
Pedro Gil,R.Papa,13
Pedro Gil,Abad Santos,13
Pedro Gil,Blumentritt,13
Pedro Gil,Tayuman,13
Pedro Gil,Bambang,13
Pedro Gil,Doroteo Jose,10
Pedro Gil,Carriedo,10
Pedro Gil,Central,10
Pedro Gil,UN Avenue,10
Pedro Gil,Quirino,10
Quirino,R.Papa,15
Quirino,Abad Santos,15
Quirino,Blumentritt,15
Quirino,Tayuman,15
Quirino,Bambang,15
Quirino,Doroteo Jose,13
Quirino,Carriedo,13
Quirino,Central,13
Quirino,UN Avenue,13
Quirino,Pedro Gil,10
