Origin,Destination,Distance_km,Fare_PHP
Fernando Poe Jr.,Balintawak,1.87,15.55
Fernando Poe Jr.,Monumento,4.12,18.28
Fernando Poe Jr.,5th Avenue,5.207,19.59
Fernando Poe Jr.,R. Papa,6.161,20.74
Fernando Poe Jr.,Abad Santos,6.821,21.54
Fernando Poe Jr.,Blumentritt,7.748,22.67
Fernando Poe Jr.,Tayuman,8.419,23.48
Fernando Poe Jr.,Bambang,9.037,24.22
Fernando Poe Jr.,Doroteo Jose,9.685,25.01
Fernando Poe Jr.,Carriedo,10.37,25.84
Fernando Poe Jr.,Central Terminal,11.095,26.71
Fernando Poe Jr.,UN Avenue,12.309,28.18
Fernando Poe Jr.,Pedro Gil,13.063,29.1
Fernando Poe Jr.,Quirino Avenue,13.857,30.06
Fernando Poe Jr.,Vito Cruz,14.684,31.06
Fernando Poe Jr.,Gil Puyat,15.745,32.34
Fernando Poe Jr.,Libertad,16.475,33.22
Fernando Poe Jr.,EDSA,17.485,34.45
Fernando Poe Jr.,Baclaran,18.073,35.16
Fernando Poe Jr.,Redemptorist–Aseana,18.942,36.21
Fernando Poe Jr.,MIA Road,20.245,37.79
Fernando Poe Jr.,Asia World (PITX),21.386,39.17
Fernando Poe Jr.,Ninoy Aquino Avenue,22.779,40.85
Fernando Poe Jr.,Dr. Santos,24.425,42.84
Balintawak,Monumento,2.25,16.01
Balintawak,5th Avenue,3.337,17.33
Balintawak,R. Papa,4.291,18.48
Balintawak,Abad Santos,4.951,19.28
Balintawak,Blumentritt,5.878,20.4
Balintawak,Tayuman,6.549,21.21
Balintawak,Bambang,7.167,21.96
Balintawak,Doroteo Jose,7.815,22.75
Balintawak,Carriedo,8.5,23.57
Balintawak,Central Terminal,9.225,24.45
Balintawak,UN Avenue,10.439,25.92
Balintawak,Pedro Gil,11.193,26.83
Balintawak,Quirino Avenue,11.987,27.79
Balintawak,Vito Cruz,12.814,28.79
Balintawak,Gil Puyat,13.875,30.08
Balintawak,Libertad,14.605,30.96
Balintawak,EDSA,15.615,32.18
Balintawak,Baclaran,16.203,32.9
Balintawak,Redemptorist–Aseana,17.072,33.95
Balintawak,MIA Road,18.375,35.52
Balintawak,Asia World (PITX),19.516,36.9
Balintawak,Ninoy Aquino Avenue,20.909,38.59
Balintawak,Dr. Santos,22.555,40.58
Monumento,5th Avenue,1.087,14.61
Monumento,R. Papa,2.041,15.76
Monumento,Abad Santos,2.701,16.56
Monumento,Blumentritt,3.628,17.68
Monumento,Tayuman,4.299,18.49
Monumento,Bambang,4.917,19.24
Monumento,Doroteo Jose,5.565,20.02
Monumento,Carriedo,6.25,20.85
Monumento,Central Terminal,6.975,21.73
Monumento,UN Avenue,8.189,23.2
Monumento,Pedro Gil,8.943,24.11
Monumento,Quirino Avenue,9.737,25.07
Monumento,Vito Cruz,10.564,26.07
Monumento,Gil Puyat,11.625,27.36
Monumento,Libertad,12.355,28.24
Monumento,EDSA,13.365,29.46
Monumento,Baclaran,13.953,30.17
Monumento,Redemptorist–Aseana,14.822,31.22
Monumento,MIA Road,16.125,32.8
Monumento,Asia World (PITX),17.266,34.18
Monumento,Ninoy Aquino Avenue,18.659,35.87
Monumento,Dr. Santos,20.305,37.86
5th Avenue,R. Papa,0.954,14.44
5th Avenue,Abad Santos,1.614,15.24
5th Avenue,Blumentritt,2.541,16.36
5th Avenue,Tayuman,3.212,17.18
5th Avenue,Bambang,3.83,17.92
